													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
I Kings	N/A	The fourth book making up the Neviim Rishonim (Early Prophets) - Melakhim (Kings) is divided into two parts. It presents the history of ancient Israel and Judah from the death of David to the release of his successor Jeconiah from imprisonment in Babylon, a period of some 400 years. David dies and Solomon comes to the throne. At the beginning of his reign he assumes God's promises to David and brings splendour to Israel and peace and prosperity to his people. The centrepiece of Solomon's reign is the building of the First Temple. As a consequence of Solomon's failure to stamp out the worship of other gods, the kingdom of David is split in two. His son Rehoboam becomes ruler of the southern kingdom of Judah. The northern tribes appoint Jeroboam as king of Israel. However these kings are uniformly bad leading God to bring the Assyrians to destroy and exile the northern tribes. The Kingdom of Judah endures with King Hezekiah instituting far reaching religious reform, centralising sacrifice at the temple in Jerusalem and destroying the images of other gods. However, these reforms do not last beyond his reign and eventually God brings the Babylonians to destroy the southern kingdom. The book concludes with the exile of the ruling class, prophets and priest. In the final verses Jeconiah is released from prison and honoured by the king of Babylon.		-500	100	Judea/Israel	1488	Soncino	Biblical	I Melachim,Melachim Aleph,Kings I,Melachim I,1 Kings,First Kings,I Melakhim	מלכים א	מ״א,מ"א,מלכים א׳,מלכים א'	Tanach,Prophets
II Kings	N/A	The fourth book making up the Neviim Rishonim (Early Prophets) - Melakhim (Kings) is divided into two parts. It presents the history of ancient Israel and Judah from the death of David to the release of his successor Jeconiah from imprisonment in Babylon, a period of some 400 years. David dies and Solomon comes to the throne. At the beginning of his reign he assumes God's promises to David and brings splendour to Israel and peace and prosperity to his people. The centrepiece of Solomon's reign is the building of the First Temple. As a consequence of Solomon's failure to stamp out the worship of other gods, the kingdom of David is split in two. His son Rehoboam becomes ruler of the southern kingdom of Judah. The northern tribes appoint Jeroboam as king of Israel. However these kings are uniformly bad leading God to bring the Assyrians to destroy and exile the northern tribes. The Kingdom of Judah endures with King Hezekiah instituting far reaching religious reform, centralising sacrifice at the temple in Jerusalem and destroying the images of other gods. However, these reforms do not last beyond his reign and eventually God brings the Babylonians to destroy the southern kingdom. The book concludes with the exile of the ruling class, prophets and priest. In the final verses Jeconiah is released from prison and honoured by the king of Babylon.		-500	100	Judea/Israel	1488	Soncino	Biblical	Melachim Bet,Melachim II,Second Kings,2 Kings,II Melachim,Kings II,II Melakhim	מלכים ב	מ"ב,מ״ב,מלכים ב׳,מלכים ב'	Tanach,Prophets
Isaiah	N/A	The Book of Isaiah is the first of the Neviim Aharonim (Latter Prophets). The book is identified by a superscription as the works of Isaiah son of Amos though in the Middle Ages the commentator Abraham Ibn Ezra identified a second Isaiah living much later. The book can be divided into three separate collections. Isaiah 1–33 promises judgment and restoration for Judah, Jerusalem and the nations. Chapters 34–66 presume that judgment has been pronounced and restoration will follows soon. It can thus be read as an extended meditation on the destiny of Jerusalem into and after the Babylonian Exile.		-600	150	Judea/Israel	1488	Soncino	Biblical	Isa.,Yishayahu,Isa	ישעיהו	ישעיה	Tanach,Prophets
Jeremiah	N/A	The Book of Jeremiah is the second of the Neviim Aharonim (Latter Prophets). The superscription identifies it as Jeremiah son of Hilkiah. The book is divided into biographical, pros and poetic strands. Jeremiah prophesise during the reforms of King Josiah up to the assassination of the Babylonian appointed governor. During this period; Josiah reforms the religion, Babylon destroys Assyria, Egypt briefly imposes vassal status on Judah, and Babylon defeats Egypt and makes Judah a vassal. Judah revolts twice against Babylon resulting in Jerusalem and the Temple's destruction and the aristocracy is exiled. The poetic material is found largely in chapters 1–25 and consists of oracles in which the prophet speaks as God's messenger. These passages, dealing with Israel's unfaithfulness to God, the call to repentance, and attacks on the religious and political establishment, are mostly undated and have no clear context.		-550	50	Judea/Israel	1488	Soncino	Biblical	Yirmiyahu,Jer,Jer.	ירמיהו	ירמיה	Tanach,Prophets
Ezekiel	N/A	The Book of Ezekiel is the third of the Neviim Aharonim (Latter Prophets). According to the book itself, it records seven visions of the prophet Ezekiel, exiled in Babylon, for 22 years. Although it is the product of a long and complex history and does not necessarily preserve the very words of the prophet the visions and the book are structured around three themes: (1) Judgment on Israel (chapters 1–24); (2) Judgment on the nations (chapters 25–32); and (3) Future blessings for Israel (chapters 33–48). Its themes include the concepts of the presence of God, purity, Israel as a divine community, and individual responsibility to God.		-500	50	Ancient Babylonian Empire	1488	Soncino	Biblical	Ezek,Ezek.,Yehezkel,Yechezkel	יחזקאל		Tanach,Prophets
Hosea	N/A	The Book of Hosea is the first of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. He prophesies during a dark and melancholic era of Israel's history, the period of the Northern Kingdom's decline and fall. The apostasy of the people was rampant, having turned away from God in order to serve the calves of Jeroboam and Baal, a Canaanite god. The prophecy of Hosea centres on God's unending love towards a sinful Israel. In this text, God's agony is expressed over the betrayal of Israel. Hosea was directed by God to marry a prostitute. Marriage here is symbolic of the covenantal relationship between God and Israel. However, Israel has been unfaithful to God by following other gods and breaking the commandments which are the terms of the covenant, hence Israel is symbolized by a harlot who violates the obligations of marriage to her husband.		-800	200	Judea/Israel	1488	Soncino	Biblical	Hos.,Hos,Hoshea	הושע		Tanach,Prophets
Joel	N/A	The Book of Joel is the second of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. After a superscription ascribing the prophecy to Joel son of Pethuel, the book may be broken down into four sections. Lament over a great locust plague and a severe drought and the effects of these events on agriculture and farmers. A more apocalyptic passage compares the locusts to an army and reveals that they are God’s army. It closes with a call for national repentance in the face of God's judgment and a promise of future blessings.		-300	300	Judea/Israel	1488	Soncino	Biblical	Yoel	יואל		Tanach,Prophets
Amos	N/A	The Book of Amos is third of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. Amos was an older contemporary of Hosea and Isaiah, and was active during the reign of Jeroboam II. Amos lived in the kingdom of Judah but preached in the northern kingdom of Israel. His major themes of social justice, God's omnipotence, and divine judgment became staples of prophecy		-800	200	Judea/Israel	1488	Soncino	Biblical		עמוס		Tanach,Prophets
Obadiah	N/A	The Book of Obadiah is the fourth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. The text consists of a single chapter, divided into 21 verses, making it the shortest book of the Tanakh (Bible). The book is a vision concerning the fall of Edom. Obadiah describes an encounter with God who addresses Edom’s arrogance and charges them for their violent actions against their brother nation, the House of Jacob. When Nebuchadnezzar II sacked Jerusalem and carted away the King of Judea, Edom assisted the Babylonians in looting the city. Obadiah suggests Edom should have remembered that blood was thicker than water. He said in judgement God would wipe out the house of Esau forever and not even a remnant would remain.		-600	100	Judea/Israel	1488	Soncino	Biblical	Ovadiah	עובדיה		Tanach,Prophets
Jonah	N/A	The Book of Jonah is the fifth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets.  Jonah son of Amittai  is sent by God to prophesise the destruction of city of Nineveh but instead attempts to escape the divine mission. He boards a ship but God calls up a great storm and he is swallowed by a great fish. Jonah repents and is vomited out onto dry land. He travels to Nineveh and calls on the people to repent. Jonah is furious, however, and angrily tells God that this is the reason he tried to flee from Him, as he knew Him to be a just and merciful God. He then beseeches God to kill him, a request which is denied when God causes a tree to grow over him, giving him shade. Initially grateful, Jonah's anger returns the next day, when God sends a worm to eat the plant, withering it, and he tells God that it would be better if he were dead. God responds, "You are concerned about the bush, for which you did not labour and which you did not grow; it came into being in a night and perished in a night. And should I not be concerned about Nineveh, that great city, in which there are more than a hundred and twenty thousand people who do not know their right hand from their left, and also many animals? “Jonah is read as the Haftarah for the afternoon of Yom Kippur due to its story of God's willingness to forgive those who repent.		-400	300	Judea/Israel	1488	Soncino	Biblical	Yonah,Jon.,Jon	יונה		Tanach,Prophets
Micah	N/A	The Book of Micah is the sixth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. It records the sayings of Micah, a prophet from the village of Moresheth in Judah. The book has three major divisions, chapters 1–2, 3–5 and 6–7, each introduced by the word "Hear," with a pattern of alternating announcements of doom and expressions of hope within each division. Micah reproaches unjust leaders, defends the rights of the poor against the rich and powerful, and preaches social justice; while looking forward to a world at peace centred on Zion under the leadership of a new Davidic monarch. While the book is relatively short, it includes lament (1.8–16; 7.8–10), theophany (1.3–4), hymnic prayer of petition and confidence (7.14–20),[7] and the "covenant lawsuit" (6.1–8), a distinct genre in which God sues Israel for breach of contract, that is, for violation of the Sinai covenant.		-600	150	Judea/Israel	1488	Soncino	Biblical	Mic.,Mic,Mikha	מיכה		Tanach,Prophets
Nahum	N/A	The Book of Nahum is the seventh of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. According to some, Nahum prophesies at the beginning of the reign of Ahaz. Others, however, think that his prophecies refer to the latter half of the reign of Hezekiah. The book of Nahum consists of two parts: Chapter one shows the majesty and might of God in goodness and severity. Chapters two and three describe the fall of Nineveh the capital of the Assyrian empire.		-650	50	Judea/Israel	1488	Soncino	Biblical	Nah.,Nah	נחום		Tanach,Prophets
Habakkuk	N/A	The Book of Habbakuk is the eighth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. The book is divided into three chapters: chapter one is a dialog between God and the prophet. Chapter two is a prophecy of woe whose central message is that "the just shall live by his faith" (2:4). Chapter 3 is a liturgical piece.		-450	150	Judea/Israel	1488	Soncino	Biblical	Hab.,Hab,Havakkuk,Habakuk	חבקוק		Tanach,Prophets
Zephaniah	N/A	The Book of Zephaniah is the ninth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. The superscription attributes its authorship to Zephaniah son of Cushi son of Gedaliah son of Amariah son of Hezekiah. Zephaniah devotes most of his energies to accomplishing a change in the behaviour of Israel through the threat of future calamity. He conceives of a date in the future when the Lord will judge all the people of the earth. This coming judgment will affect all of the nations, including the author’s own nation of Judah . The threats made against Jerusalem, however, are much more specific than the prophecies concerning foreign nations. This strengthened the belief that the Israelites, God’s chosen nations, were even more culpable than other nations. The book concludes by extending a promise of deliverance to the remnant of Israel from Babylonian captivity.		-550	100	Judea/Israel	1488	Soncino	Biblical	Zeph.,Tzephaniah,Zeph	צפניה		Tanach,Prophets
Haggai	N/A	The Book of Haggai is the tenth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. It is a short book consisting of two chapters. It is set at the start of the Persian Empire with Zerubbabel leading the Jews after their return to the land of Israel. Haggai’s message is filled with an urgency to rebuild the Second Temple and attributes a recent drought to the people's refusal to do so, which he views as key to Jerusalem’s glory. The book ends with the prediction of the downfall of kingdoms, with one Zerubbabel, governor of Judah, as the Lord’s chosen leader.		-450	70	Second Temple Judea	1488	Soncino	Biblical	Chaggai,Hag,Hag.	חגי		Tanach,Prophets
Zechariah	N/A	The Book of Zechariah is the eleventh of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. Zechariah’s ministry took place during the reign of Darius the Great (Zechariah 1:1), and was contemporary with Haggai in a post-exilic world after the fall of Jerusalem. Zechariah is specific about dating his writing 520–518 BCE. Chapters 1 to 6 recall the nation's history, for the purpose of presenting a solemn warning to the present generation. Chapters 7 and 8, delivered two years later, are an answer to the question whether the days of mourning for the destruction of the city should be kept any longer, and an encouraging address to the people, assuring them of God's presence and blessing. Chapters 9 to 14 consist of two “prophecies” or "burdens". The first prophecy (ch. 9-11) gives an outline of the course of God's providential dealings with his people down to the time of the coming of the Messiah. The second prophecy (ch. 12–14) points out the glories that await Israel in "the latter day", the final conflict and triumph of God's kingdom.		-450	70	Second Temple Judea	1488	Soncino	Biblical	Zech.,Zech,Zachariah,Zekharia,Zekharya	זכריה		Tanach,Prophets
Malachi	N/A	The Book of Malachi is the twelfth of the Tere Asar (Twelve Minor Prophets). The term denotes the short length of the text in relation to the longer prophetic texts known as the Major Prophets. The book is commonly attributed to a prophet by the name of Malachi though one of the Targums identifies Ezra as the author of Malachi. The Book of Malachi was written to correct the lax religious and social behaviour of the Israelites – particularly the priests – in post-exilic Jerusalem. Although the prophets urged the people of Judah and Israel to see their exile as punishment for failing to uphold their covenant with God, it was not long after they had been restored to the land and to Temple worship that the people's commitment to their God began once again to wane.		-450	70	Second Temple Judea	1488	Soncino	Biblical	Mal.,Mal	מלאכי		Tanach,Prophets
Psalms	N/A	Tehillim (Book of Psalms) is the first book of the Ketuvim(Writings), the third section of the Tanakh (Bible). The book is an anthology of 150 individual psalms. Many of the psalms are linked to the name of King David, although his authorship was question by the mediaeval commentator Moses Ibn Giqatillah. The book is divided into five books that parallel the five books of the Torah (Pentateuch). There are five genres of Psalms; Hymns, songs of praise for God's work in creation or in history. Communal laments marking a disaster in the community. Royal Psalms pertaining to such matters as the king's coronation, marriage and battles. Individual laments on the fate of the particular individual. Personal thanksgiving psalms to God expressing praises on deliverance from distress. In addition to these five major genres there are communal thanksgiving psalms, wisdom psalms, pilgrimage psalms on their way to Jerusalem; entrance and prophetic liturgies and a group of mixed psalms which could not be assigned to any category.		-500	500	Judea/Israel	1488	Soncino	Biblical	Ps,Ps.,Psa,Tehilim,Psa.,Psalm,Tehillim	תהילים	תהלים	Tanach,Writings
Proverbs	N/A	The Book of Mishle (Proverbs) is the second book of Ketuvim (Writings) the third section of the Tanakh (Bible). Proverbs is not merely an anthology but a "collection of collections" relating to a pattern of life which lasted for more than a millennium. It is an example of the Biblical wisdom tradition, and raises questions of values, moral behaviour, the meaning of human life, and right conduct. The repeated theme is that "the fear of God (meaning submission to the will of God) is the beginning of wisdom". Roughly half the book is made up of short "sayings"; the other half is made up of longer poetic units of various types. These include "instructions" formulated as advice from a teacher or parent addressed to a student or child, dramatic personifications of both Wisdom and Folly, and the "words of the wise" sayings, longer than the Solomonic "sayings" but shorter and more diverse than the "instructions".		-600	200	Judea/Israel	1488	Soncino	Biblical	Prov,Pro,Prov.,Mishlei,Pro.	משלי		Tanach,Writings
Job	N/A	The Book of Job is the third book of Ketuvim (Writings). Addressing the theme of God's justice in the face of human suffering – or more simply, "Why do the righteous suffer?" It is a rich theological work setting out a variety of perspectives. It has been widely and often extravagantly praised for its literary qualities. It consists of; a prologue on earth and in heaven, Job's opening monologue, three cycles of dialogues between Job and his three friends Eliphaz, Bildad and Zophar, three monologues, two speeches by God and an epilogue.		-800	500	Judea/Israel	1488	Soncino	Biblical	Iyov	איוב		Tanach,Writings
Song of Songs	N/A	Shir Hashirim (The Song of Songs), also known as the Song of Solomon is the first of the five Megillot (scrolls) of Ketuvim (Writings) the last section of the Tanakh (Bible). Scripturally, it is unique in its celebration of sexual love. It gives "the voices of two lovers, praising each other, yearning for each other, proffering invitations to enjoy". The two are in harmony, each desiring the other and rejoicing in sexual intimacy; the women (or "daughters") of Jerusalem form a chorus to the lovers, functioning as an audience whose participation in the lovers' erotic encounters facilitates the participation of the reader. Jewish tradition reads it as an allegory of the relationship between God and Israel. The story is read on the prior to Sabbath each week by Sephardim and on Shabbat during Pesah by Ashkenazim.		-500	400	Judea/Israel	1488	Soncino	Biblical	Shir HaShirim,Canticles,Song.,Song	שיר השירים		Tanach,Writings
Ruth	N/A	Ruth (Book of Ruth) is the second of the five Megillot (scrolls) of Ketuvim (Writings) the last section of the Tanakh (Bible). The book tells of Ruth's accepting the God of the Israelites as her God and the Israelite people as her own. In Ruth 1:16 and 17 Ruth tells Naomi, her Israelite mother in law, "Where you go I will go, and where you stay I will stay. Your people will be my people and your God my God. Where you die I will die, and there I will be buried. May the Lord deal with me, be it ever so severely, if even death separates you and me." The book is held in esteem by Jews who fall under the category of Jews-by-choice, as is evidenced by the considerable presence of Boaz in rabbinic literature. The "Book of Ruth" also functions liturgically, as it is read during the Jewish holiday of Shavuot ("Weeks").		-650	250	Judea/Israel	1488	Soncino	Biblical	Rut	רות		Tanach,Writings
Lamentations	N/A	Eikha (Book of Lamentations) is the third of the five Megillot (scrolls) of Ketuvim (Writings) the last section of the Tanakh (Bible). It is generally accepted that the destruction of Jerusalem by Babylon in 586 BCE forms the background to the poems.  The book is partly a traditional "city lament" mourning the desertion of the city by God, its destruction, and the ultimate return of the divinity, and partly a funeral dirge in which the bereaved bewails and addresses the dead. The tone is bleak: God does not speak, the degree of suffering is presented as undeserved, and expectations of future redemption are minimal. The book is traditionally recited on the fast day of Tisha Be-Av (Ninth of Av), mourning the destruction of both the First and Second Temples.		-550	50	Judea/Israel	1488	Soncino	Biblical	Lam,Lam.,Eichah	איכה		Tanach,Writings
Ecclesiastes	N/A	Qoheleth (Book of Ecclesiastes ) is the fourth of the five Megillot (scrolls) of Ketuvim (Writings) the last section of the Tanakh (Bible). It proceeds to discuss the meaning of life and the best way of life. He proclaims all the actions of man to be inherently hevel, meaning "vain", "futile", "empty", "meaningless", "temporary", "transitory", "fleeting", or "mere breath," as the lives of both wise and foolish people end in death. While Koheleth clearly endorses wisdom as a means for a well-lived earthly life, he does not ascribe eternal meaning to it. In light of this senselessness, one should enjoy the simple pleasures of daily life, such as eating, drinking, and taking enjoyment in one's work, which are gifts from the hand of God. The book concludes with the injunction: "Fear God, and keep his commandments; for that is the whole duty of everyone" (12:13). The author "Koheleth" uses a literary device to introduce himself as "son of David king in Jerusalem" - Solomon. It is read by Yemenite and Ashkenazi Jews during Sukkot.		-500	400	Judea/Israel	1488	Soncino	Biblical	Eccles.,Ecc,Kohelet,Ecc.	קהלת		Tanach,Writings
Esther	N/A	Esther (Book of Esther ) is the fifth of the five Megillot (scrolls) of Ketuvim (Writings) the last section of the Tanakh (Bible). Esther was a Jewish queen of the Persian king Ahaverosh. Ahaverosh is traditionally identified with Xerxes I during the time of the Achaemenid Empire. The King is angered by with his Queen Vashti refusal to obey his orders and he has here replaced with Esther. Esther cousin Mordecai became chief minister of Ahaverosh and lived in the Persian capital of Susa. One day, while sitting at the gate of the king's palace. He uncovers a plot by Haman to wipe out all the Jews in the Persian Empire. Esther uses her political position to save all the Jews. The Jews established an annual feast, the feast of Purim, in memory of their deliverance. Haman set the date of Adar 13 to commence his campaign against the Jews. This determined the date of the festival of Purim.		-300	100	Shushan	1488	Soncino	Biblical	Est.,Est,Ester	אסתר		Tanach,Writings
Daniel	N/A	The Book of Daniel is an "account of the activities and visions of Daniel a noble Jew exiled in Babylon. It is found in the Ketuvim the last section of Tanakh. The book is written in Hebrew and Aramaic; Chapters 1 and 8-12 are Hebrew whilst Chapter 2-7 is in Aramaic. The book divides into two parts, a set of six court tales in chapters 1–6 followed by four apocalyptic visions in chapters 7–12. Its message is that just as the God of Israel saved Daniel and his friends from their enemies, so he would save all of Israel in their present oppression. The books final vision predicts the fall of four great kingdoms the last which will be before the messianic redemption. This vision became the focus of much interpretation and prediction for Jews in the Middle Ages.		-300	100	Babylon (City)	1488	Soncino	Biblical	Dan.,Dan	דניאל		Tanach,Writings
Ezra	N/A	Ezra–Nehemiah is the original combined version of the biblical books of Ezra and Nehemiah—the two were originally one, but were divided by Christians in the 3rd century CE and in Jewish circles in the 15th century. The text of Ezra–Nehemiah is composed largely in Late Biblical Hebrew with significant sections in Aramaic; there are occasional reflections of Old Persian vocabulary, but little significant influence from Greek. Covering the period from the fall of Babylon in 539 BCE to the second half of the 5th century BCE, it tells of the successive missions to Jerusalem of Zerubbabel, Ezra, and Nehemiah, and their efforts to restore the worship of the God of Israel and to create a purified Jewish community. The narrative is highly schematic, each stage of the restoration following the same pattern: God "stirs up" the Persian king, the king commissions a Jewish leader to undertake a task, the leader overcomes opposition and succeeds, and success is marked by a great assembly.		-400	50	Second Temple Judea	1488	Soncino	Biblical	Ezr.,Ezr	עזרא		Tanach,Writings
